tab-12.csv, 0.054332 0.152859 0.0970693 0.118818 0.186567 0.254641 0.321526 0.958118 0.0626896 0.479793 0.298726 0.0717758 0.112039 , 0.857623s
tab-14.csv, 0.194958 0.464095 0.245958 0.256777 0.546577 0.327497 0.036461 0.15524 0.339875 0.117972 0.410397 0.272624 0.0869203 , 0.640988s
tab-15.csv, 0.076803 0.258592 0.00435957 0.0289967 0.300919 0.0948842 0.407174 0.373566 0.2143 0.37619 0.367341 0.157379 0.670975 0.361768 0.110394 0.467802 0.269439 0.598182 0.0996639 0.13108 0.406591 0.932444 , 0.667925s
tab-35.csv, 0.0808697 0.264931 0.268323 0.664972 0.050974 0.280696 0.723034 0.0294154 0.462052 0.358085 0.110355 0.468665 0.234544 0.281332 0.460869 0.116288 0.340576 0.339652 0.267338 0.0848377 0.113243 0.388544 0.240671 0.108268 0.269717 0.350697 0.129783 0.524288 0.322211 0.206436 0.439788 0.0747459 0.741684 0.130352 0.3738 0.271695 , 1.2252s
tab-36.csv, 0.0422005 0.297687 0.449794 0.418449 0.221495 0.294619 0.392731 0.55462 0.264062 0.341244 0.103839 0.0754122 0.287079 0.590615 0.354771 0.0748958 0.0771875 0.854974 , 0.739469s
tab-37.csv, 0.0366832 0.0593719 0.156959 0.214308 0.0108111 0.405157 0.109063 0.170587 0.485784 0.379956 0.116358 0.221066 0.304751 0.0836634 0.387092 0.249295 0.0479676 0.0563333 0.155444 0.416699 0.0304833 0.471718 0.241872 0.384893 0.485816 0.103278 0.114648 0.270712 0.929379 0.395259 0.0652617 0.42632 0.89902 0.417819 0.0360598 0.482558 0.342069 0.207725 0.386541 0.0253486 0.243963 0.399656 0.473923 0.469352 0.0581606 0.214952 0.101166 0.248108 0.466693 0.446874 0.298116 0.430668 0.329013 0.438539 0.299065 0.393353 0.193717 0.459304 0.27775 0.130462 0.359097 0.0191161 0.648726 , 2.85636s
tab-38.csv, 0.0439858 0.164064 0.489965 0.489142 0.347628 0.299662 0.23229 0.473213 0.913739 0.145327 0.108006 0.0503495 0.414624 0.223499 0.357066 0.15493 0.153411 0.371881 0.489273 0.356736 0.404706 0.166201 0.868964 0.396247 0.0260298 0.395941 0.45302 0.0210807 0.140361 0.371929 0.0179028 0.420538 0.158965 0.495298 0.440872 0.334735 0.285448 0.319648 0.336051 0.255314 0.40015 0.0105249 0.441389 0.157946 0.126115 0.0769692 0.382297 0.368263 0.468734 0.804112 0.207541 0.686434 , 2.40558s
tab-42.csv, 0.0244313 0.0692882 0.0334362 0.157708 0.419079 0.232006 0.0599793 0.368526 0.386018 0.392244 0.236231 0.0315861 0.18304 0.354568 0.109205 0.460258 0.0372014 0.241616 0.221501 0.146884 0.0596222 0.0191555 0.145856 0.219389 0.259366 0.452318 0.449366 0.392951 0.229672 0.304935 0.410286 0.473354 0.0689232 0.537488 0.0656949 0.398032 0.188541 0.0299328 0.432513 0.14909 0.379161 0.161028 0.109736 0.186621 0.263447 0.139973 0.217212 0.103435 0.0823812 0.206334 0.36441 0.328255 0.0729579 0.0204515 0.366647 0.234203 0.534639 0.0126112 0.332499 0.133941 0.548133 , 2.69766s
tab-45.csv, 0.120044 0.248549 0.607184 0.36807 0.127204 0.10574 0.00147383 0.173226 0.486286 0.113762 0.476968 0.1378 0.245552 0.276581 0.23918 0.227366 0.333418 0.311308 0.121305 0.049979 0.371891 0.230735 0.380566 0.347343 0.425002 0.267356 0.279305 0.0498623 0.427223 0.0875746 0.467706 0.275685 0.247067 0.205365 0.47412 0.155605 0.266804 0.259791 0.274572 0.380196 0.326758 0.464141 0.161017 0.31258 0.251998 0.158133 0.234316 0.195167 , 2.5596s
tab-47.csv, 0.0111993 0.312505 0.250722 0.206391 0.401779 0.432851 0.450078 0.309569 0.116053 0.0231069 0.118818 0.398544 0.714424 0.38817 0.241543 0.351217 0.00953895 0.38625 0.105514 0.425068 0.318396 0.392761 0.0681723 0.326254 0.409412 0.217384 0.0442954 0.231901 0.376986 0.612344 0.0794881 0.0830388 0.11464 0.439405 , 1.00689s
